target,hedge,target_name,hedge_name,n,corr,r2,beta,beta_hac_se,alpha,alpha_hac_se,resid_sd,dw,h_from_beta,h_from_pnl,h_gap_%,eff_train,eff_test
BZ=F,ZS=F,Brent crude,Soybeans,2256,0.1921267875623885,0.036912702499043104,0.38841328689674337,0.04821626221524643,0.00041632825824122895,0.0005486847745846988,0.025917376538605767,2.0226585536289092,0.46267274801898867,0.47454510439485603,-2.501839396490476,0.05577916854755238,0.017653173435601577
ZS=F,BZ=F,Soybeans,Brent crude,2256,0.1921267875623885,0.03691270249904299,0.09503460294564052,0.013059481093941764,0.00015168976128313502,0.0002602158369906646,0.012819907208094257,2.008051786624519,0.07978144953877468,0.1175423959302723,-32.12538428593706,0.055779168547552604,-0.07052487210749692
CL=F,ZS=F,WTI crude,Soybeans,2256,0.18429326425772918,0.033964007250769424,0.4503721820238516,0.053571591087558476,0.000570828959083447,0.0006100640660052596,0.03137695562217439,2.0733952956237753,0.49894344846111144,0.48397428750841565,3.092966163504192,0.05905571822630462,0.0178204369431485
ZS=F,CL=F,Soybeans,WTI crude,2256,0.18429326425772918,0.03396400725076909,0.07541319958560519,0.014103590572788868,0.0001487928824492862,0.00026113786306610566,0.01283951763649156,2.0045995110100416,0.06807185735282072,0.12202242918799237,-44.21365169845403,0.05905571822630484,-0.07257450631209905
KC=F,ZS=F,Coffee C,Soybeans,2256,0.18101434428233337,0.03276619283596294,0.28692832184619166,0.03354577861114558,0.00022587572543211938,0.00042494264640678014,0.020364709300297754,2.009288175651027,0.3132698330843079,0.23674274890088223,32.32499602995886,0.026594817556108596,0.004402495767405257
ZS=F,KC=F,Soybeans,Coffee C,2256,0.18101434428233337,0.03276619283596305,0.11419643981163857,0.014030678136300849,0.00016628458578336788,0.00026046944101738644,0.012847475204869395,2.018462789516908,0.10459415294911263,0.1123363553037193,-6.891982861358092,0.026594817556108707,-0.218980292926799
BZ=F,ZC=F,Brent crude,Corn,2256,0.17659518765502427,0.03118586030291326,0.28188786786258974,0.048363666777367,0.0004325553445755384,0.0005529596638355164,0.025994319061712044,2.002454967006361,0.921661181886895,0.7101206373036488,29.78938133476483,0.035719440885983667,0.013872770557687986
ZC=F,BZ=F,Corn,Brent crude,2256,0.17659518765502427,0.03118586030291315,0.110632147950813,0.014242866924910747,0.00016147274929949389,0.0003385355391739677,0.016284743602038614,1.995284899790657,0.03383657781818171,0.05030052502291989,-32.73116373484419,0.03571944088598389,-0.05996271395334407
CL=F,ZC=F,WTI crude,Corn,2256,0.1758495988082893,0.03092308140103628,0.3393085791912373,0.07201526714462345,0.0005869535625227602,0.0006134880666615323,0.03142630162291362,2.0601703040074124,1.0317861099966454,0.7197940129694292,43.34463629950573,0.03735572587933156,0.012286048056082688
ZC=F,CL=F,Corn,WTI crude,2256,0.1758495988082893,0.03092308140103628,0.09113557185834617,0.010305880798584945,0.00015589170504792674,0.00033837859653003296,0.016286951970356713,1.9988112191823655,0.02997043776944903,0.05189780021262583,-42.25104407766835,0.03735572587933178,-0.0684441234287334
