target_name,hedge_name,h_full,h_median,h_iqr,h_cv,sign_flips_%,r2_median,r2_iqr,r2_p05,windows_r2_above_25%
RBOB gasoline,SRW wheat,0.464842626459995,0.26210429636254073,0.6400113455585097,1.8612564933760882,27.599441730635032,0.011662241976766336,0.03410879061538862,8.138253668673641e-05,0.034891835310537335
SRW wheat,RBOB gasoline,0.05020513378377841,0.02275349397977479,0.05165189759410234,1.6329134961438625,27.599441730635032,0.011662241976766336,0.03410879061538862,8.138253668673641e-05,0.034891835310537335
WTI crude,Gold,0.13593874667860895,0.06493679137277958,0.20014854022111583,2.2438234440514506,31.577110956036286,0.020355927507793917,0.05499842635284148,9.755786963175014e-05,1.8492672714584788
Gold,WTI crude,0.11116230161386659,0.08803690863159391,0.268213084813007,3.2844988210113284,31.577110956036286,0.020355927507793917,0.05499842635284148,9.755786963175014e-05,1.8492672714584788
Gold,Soybeans,0.18914124936455523,0.13304615776241507,0.49494344314725386,2.9076033145749225,37.229588276343335,0.010375130423335169,0.02725940031589431,0.00011324264161085198,0.52337752965806
Soybeans,Gold,0.05831621951794467,0.01307997972076917,0.08992089844344495,2.4788636190729334,37.229588276343335,0.010375130423335169,0.02725940031589431,0.00011324264161085198,0.52337752965806
NY Harbor ULSD,Gold,0.20402902475867882,0.059408173536770977,0.23503691820829292,3.175692630794557,34.99651081646895,0.013637405783130888,0.03826539366525703,0.0001690498881412938,1.779483600837404
Gold,NY Harbor ULSD,0.06333243215980974,0.05475182117477281,0.1934963895261512,4.536958643310114,34.99651081646895,0.013637405783130888,0.03826539366525703,0.0001690498881412938,1.779483600837404
Brent crude,Henry Hub gas,0.08136869155663742,0.09726812697807852,0.2389691280514753,2.0469885868896855,22.923935799023027,0.010700464972230442,0.026224168121506717,0.0001125477514408448,0.0
Henry Hub gas,Brent crude,0.0806490636194327,0.058187299422222755,0.10185517254242227,1.7604580373625762,22.923935799023027,0.010700464972230442,0.026224168121506717,0.0001125477514408448,0.0
