,log_carat,log_carat_sq,log_volume,aspect_xy,depth_c,depth_c_sq,table_c,table_c_sq,cut_score,cut_score_sq,color_score,color_score_sq,clarity_score,clarity_score_sq,carat_x_cut,carat_x_color,carat_x_clarity,table_x_cut
0.00701703828670383,0.8956661689177912,-0.0,0.16118485260226112,0.0020376896109529884,-0.0007591682890062462,-0.009464379577715063,0.0,-0.0,0.021968677281900682,0.0,0.11942440179269644,0.0,0.1991090822791037,0.0,0.0,0.0012831080333308871,0.02967480581626737,0.0
0.01,0.8888965145748968,-0.0,0.172374417572308,0.0,-0.0,-0.00711919043905365,0.0,-0.0,0.020087000204721796,0.0,0.11465763868263659,0.0,0.19054716050053136,0.0,0.0,0.0,0.017538506961154086,0.0
0.014251026703029992,0.8578988806706587,-0.0,0.20776570446646137,0.0,-0.0,-0.004348585341976386,-0.0,-0.0,0.01669186784871164,0.0,0.10821021457872072,0.0,0.1785307392598337,0.0,0.0,0.0,0.0002504836286137227,0.0
0.02030917620904739,0.7947169041049914,-0.0,0.2573801905012426,0.0,-0.0,-6.901846830263367e-06,-0.0,-0.0,0.011851350680776597,0.0,0.09844894412489986,0.0,0.16812074340845837,0.0,0.0,0.0,0.0,-0.0
0.028942661247167517,0.7012965960061159,-0.0,0.3313458357353035,0.0,-0.0,-0.0,-0.0,-0.0,0.00246103120873849,0.0,0.08452258214664328,0.0,0.15320574820784366,0.0,0.0,0.0,0.0,-0.0
0.041246263829013564,0.6257142818882747,-0.0,0.3802931074651406,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0647173771419323,0.0,0.13054910790533514,0.0,0.0,0.0,0.0,-0.0
0.05878016072274912,0.5365767795595816,-0.0,0.4318232487922357,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03650640494868186,0.0,0.09781194416345837,0.0,0.0,0.0,0.0,-0.0
0.08376776400682924,0.41598359940035773,-0.0,0.5000240345106833,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.05171039365858274,0.0,0.0,0.0,0.0,-0.0
0.11937766417144383,0.2993920340140008,-0.0,0.5611890403985098,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17012542798525893,0.27297902486708475,-0.0,0.5368229550698155,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24244620170823308,0.23533777500105205,-0.0,0.502098781803087,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34551072945922184,0.18169512930344164,-0.0,0.45261326975659394,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49238826317067413,0.10524885167765549,-0.0,0.3820913343978285,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.7017038286703837,0.0,-0.0,0.2778997761796697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
