,etf,etf,etf,etf,sp100,sp100,sp100,sp100,sp500,sp500,sp500,sp500
,sample,lw,pca,ff,sample,lw,pca,ff,sample,lw,pca,ff
2012-02-29,1.9399231961222188,1.634507035691327,1.2139120890585218,1.1892370641482268,3.381937436085249,3.1731414168489995,3.1827338536479446,2.5991635484239954,11.97632167199129,7.581789196279006,4.24189836727175,3.39906138592906
2012-03-30,1.9101162024696126,1.621928712366649,1.1993898822030444,1.1972469709242033,3.5358859912805904,3.288196734452236,3.193063692212692,2.5784116043809315,12.034671253769329,7.585129118095966,4.198291914216336,3.356074707083768
2012-04-30,1.914654777104248,1.6314284307660833,1.208927342762598,1.1955821045931938,3.6409095408847816,3.382898838563651,3.201164013602608,2.6198734757564814,12.153515722426773,7.671777080583697,4.228051966466483,3.3528510678178503
2012-05-31,1.9379208360534492,1.6506634420991773,1.2238744982723233,1.1997580180586374,3.4566389704036795,3.240286624205045,3.122863510899987,2.5748899829498373,11.214429963235597,7.802801411119107,4.164631633162621,3.329101816703403
2012-06-29,1.9067842033852713,1.6472889681934846,1.2387793020503755,1.2089845454309072,3.543477665954637,3.3113424267157785,3.164204853044129,2.5821143950365646,10.742908383332004,7.6307543269568034,4.104617269742059,3.336367493265352
2012-07-31,1.899811880531596,1.6460088298552045,1.232086608996583,1.2067645170903467,3.5549069417318315,3.3440006550626666,3.114324173386873,2.5564576255389784,10.32391591586211,7.378966159580239,4.037343697347297,3.232276574097043
2012-08-31,1.9066880108143107,1.6406433976596995,1.2355930485486135,1.2137958380222784,3.5927649604510252,3.3330772952133505,3.1155124308967417,2.57766782395004,10.297879192328375,7.3527208236875286,4.043468612259621,3.293883421841708
2012-09-28,1.8762779199923618,1.6290337182987817,1.2284835246400767,1.1951347514024664,3.5632774228447412,3.324248058350727,3.1369003035844836,2.588832555598827,10.510145958291485,7.342327014333322,4.075407681998525,3.302001467841916
2012-10-31,1.8757450460037743,1.60380433136784,1.2113247845396125,1.2244826756834335,3.70840062150091,3.439273989601943,3.142262887562033,2.6196057156654544,10.759264305194282,7.410716494850453,4.101722527247913,3.3397374601118446
2012-11-30,1.8851689232019986,1.5798340063406093,1.1812305616084018,1.2370629442320566,3.7104535630482727,3.424051709879759,3.1741033019285303,2.6045676579158177,10.829192579954734,7.445630183706932,4.167195842032635,3.3353845534042312
2012-12-31,1.8127005532512555,1.5171968390524297,1.1548429699014244,1.2299605341134199,3.641264100008123,3.339482656107892,3.09371152224818,2.609679377445866,11.976057712515635,7.516718847329473,4.137954661480148,3.3756777108603693
2013-01-31,1.8038550939037885,1.492487763144384,1.151659676978574,1.2246969412153446,3.771934536204505,3.3923150200823726,3.1306552473469447,2.6606832404740537,11.72312670317898,7.457053672231364,4.171972389435393,3.385238164395496
2013-02-28,1.8026903487917636,1.490061360201285,1.1529721381948677,1.239190656233591,3.759926819967542,3.372326066996882,3.1404051349817275,2.682237438565443,12.21632894343102,7.549849781844473,4.21617197179774,3.4122366181976442
2013-03-28,1.8401923742005382,1.5158454803938781,1.1618894623218106,1.2431330993617657,3.7035910081513297,3.3320639032494035,2.974749424964164,2.6847581897495925,10.877685463051941,7.283726889270893,4.282920759395201,3.439405770430759
2013-04-30,1.8381044017279533,1.491334473355543,1.1452843704130005,1.2425751773845317,3.702559458159716,3.3391287066839275,2.9900302829843595,2.686065933303958,11.179151112501287,7.380862699442062,4.274854841787317,3.4746838135048725
2013-05-31,1.8710777591456604,1.5418346415440063,1.1713724245519008,1.2526130528251345,3.698096431686394,3.2795713433572233,2.9587408067423326,2.729844928273323,11.594658133207743,7.624298013326318,4.331859163817949,3.549415637398581
2013-06-28,1.890354342953726,1.551657220704151,1.190098997157826,1.244008535802457,3.698240877187001,3.347033426131715,3.0010997683064407,2.6925158631588735,11.700774975657847,7.6877425074029695,4.42517979106719,3.616881795931535
2013-07-31,1.9235381807984362,1.5668366843376196,1.2189646579402422,1.2430376300448245,3.6626522918454194,3.2760191097801465,2.9929033530820357,2.6992728014897245,11.415644926290497,7.62846381413083,4.442265893292239,3.5969593151012633
2013-08-30,1.8750567734621042,1.5515244832703812,1.2345820212026117,1.2045732567175498,3.458147931899393,3.215866151201401,2.7608352838585564,2.6465370501535825,11.084272925165799,7.368241402021811,4.127051032899284,3.387050021443395
2013-09-30,1.9606144979009268,1.6223953362036494,1.2785494859980908,1.2259066904366294,3.586466954191581,3.289808681067023,2.7534273761593857,2.6743831685316826,11.22419273811472,7.13588598030111,4.125167250987154,3.3943121246775956
2013-10-31,1.980092659895712,1.636685597097222,1.2829203679494192,1.2394817948619585,3.6388180249947273,3.3036170364225828,2.7681746670865555,2.6965803003410076,10.336185180826543,6.917608031866696,4.114267347130895,3.4094474677951103
2013-11-29,1.9771962706713944,1.6347367562628463,1.2937963795231908,1.2313612232035427,3.5245043094432416,3.1075233067334445,2.77671837948327,2.6272572116203987,9.213731596163708,6.508056776761755,4.016812453238688,3.3512527233839453
2013-12-31,2.0129453269332354,1.6537232489317018,1.3056773024778483,1.2375040203098837,3.5076318020844717,3.063998049749475,2.7871892201203594,2.5619799140498176,10.153743381931047,6.7542052758308095,4.040805362719389,3.3626668131542434
2014-01-31,2.0482591920589894,1.6633924331404144,1.3077043228989527,1.2407318310509603,3.5404861943634987,3.14472328650289,2.729961567981469,2.609571412002586,10.147124360339525,6.900127986838017,4.038378927873113,3.2999047734971017
2014-02-28,2.06191125267266,1.6624448357709924,1.3108359086849928,1.2467740674472345,3.481806930018786,3.1108234229297604,2.752586938329463,2.593850676719971,10.500503977425577,6.993974952191173,4.074045341022998,3.338543267354367
2014-03-31,2.050564538856053,1.6132114784993385,1.319725069347973,1.238133540336788,3.5021845275237578,3.1180115638610455,2.7985985577341763,2.692443091659966,11.687851122311404,7.2314329134574855,4.08007863551291,3.374748172040945
2014-04-30,2.028583039502489,1.571035697799388,1.5159254214987357,1.2257457436052825,3.3499194314189826,2.997526235306736,2.7661367977439517,2.5677071281400234,11.662475268682773,7.149136226166878,4.091891776525276,3.387772122908136
2014-05-30,2.0255520501805004,1.5647262975100933,1.513631542689942,1.2084161162719564,3.4137314837804835,3.068988415760445,2.8185654503634963,2.663823165750241,11.208615437620637,7.169665095255727,4.094442931634559,3.409904063151844
2014-06-30,2.0886000530681597,1.5739742807240655,1.5394631359697426,1.2153445368310134,3.3173631982863867,3.0109558393490734,2.8763745513973444,2.6059330637176044,10.9965393664658,6.930197768758767,4.168712220142887,3.4162660357767485
2014-07-31,2.047891713474939,1.5629654761143055,1.5513962388709555,1.1843788126798724,3.153976569887741,2.887039644890263,2.73401078283032,2.50991262529238,10.943049405467798,6.948634383816055,4.055827418803014,3.4522441668213535
2014-08-29,2.049298699828758,1.5515312552867273,1.5606143307417293,1.1765568629544718,3.086181787761337,2.810190986085956,2.7462966910651083,2.519844181439467,11.258000491638377,7.11800346352095,4.185494120244048,3.492094648039102
2014-09-30,2.048468461818353,1.5546704000646117,1.5841086465895917,1.147545140781721,3.111907838290199,2.8589723529203,2.7704431297989025,2.5671052199943283,10.472984502470958,7.054441416010514,4.232305356091818,3.56661728321123
2014-10-31,2.063234669690658,1.549344372820873,1.5661309196785687,1.125619892089925,3.2621165495364703,3.0426977480708066,2.918708975820403,2.671936553122789,11.466691692506103,7.609824863957662,4.245557019665007,3.602539525741274
2014-11-28,2.069014459125745,1.5436432332670302,1.5821665031561871,1.1173272950563473,3.1385629800405197,2.889338636610901,2.8360163489575525,2.637790191433162,12.719653098288434,7.296054889373013,4.178021135577361,3.577506107610316
2014-12-31,2.097261491967463,1.549086459838222,1.5742574450928173,1.1033388751253586,3.397110391876992,3.0125526016136686,2.7865664852843772,2.5748369377489353,12.692361874020568,7.4373671282845395,4.229086995523161,3.569654203326407
2015-01-30,2.079965843468046,1.5178677252793566,1.555355100756504,1.0915267352969995,3.4579147782258604,3.1490507729900927,2.8180309570613113,2.658821434647217,12.543957528120158,7.749441709581765,4.334774943370052,3.623257686850286
2015-02-27,2.108047478786306,1.5290457308827243,1.5802721600642056,1.0686190016232726,3.4250337345580055,3.06627883499216,2.7858534805186834,2.574806254095198,12.729940384765868,7.48962785594802,4.3699080059071855,3.664852089699939
2015-03-31,2.127055395509656,1.5868843704424296,1.6932304084560588,1.057449853481037,3.4680116729159822,3.1731969256179897,2.895486966411052,2.7369680242628087,12.661984654948846,8.018860095397171,4.506154412224351,3.816769661451739
2015-04-30,2.097091588515494,1.6359695500016744,1.692862639412189,1.050113072210455,3.645893772654108,3.3117523510587286,2.8609847820775927,2.7965967500280366,13.109207248110003,8.35151876311808,4.635647450588637,3.9335601128034163
2015-05-29,2.1212489098193656,1.6492812725380945,1.7374071058624783,1.0609956350168483,3.759799077188983,3.403477703588057,2.873275398036945,2.7702737556615564,13.904622218008342,8.562705730744913,4.739635294048403,3.9401567024792374
2015-06-30,2.1417332846061727,1.6235765404711517,1.6399914540676568,1.091109975488628,3.7601574738075563,3.3509066168695143,2.822775261438846,2.6353901448293677,14.12301729412915,8.10606114844968,4.745816201466449,3.851280531413761
2015-07-31,2.0823753103842955,1.5898192027475369,1.6316601033406177,1.074098665404133,3.8384634926280046,3.3752414538942617,2.8438041837588375,2.6230253514950044,12.843523857042884,8.139279918098262,4.746651677837647,3.8573123911064315
2015-08-31,2.098613122366369,1.5441071300092015,1.5532652545979087,1.0589816374283803,4.243662230960559,3.6672196258943854,2.904648633011912,2.7487565734616477,14.012598538138835,8.726498835788583,5.084304742181513,4.115509025453592
2015-09-30,2.0918231632399054,1.5306305042371287,1.5188936255370207,1.0820982931691763,4.30891561522357,3.7846994027272367,3.0977006323823186,2.8854800194957475,14.89654361169368,8.79897888396905,5.227833469642084,4.17968291256222
2015-10-30,2.0667149585095896,1.5141759199140268,1.5032976164343816,1.0877985415409475,4.0195193258230075,3.535242310174551,3.0553469594552616,2.843391704731531,15.18062020855956,8.75090530749753,5.26880047440897,4.150275839579844
2015-11-30,2.0619078256920074,1.5331852659496958,1.5020165389102218,1.0787050262805624,4.207112969808033,3.6531145295053844,3.027904980173863,2.915833479406814,16.40901258871569,8.926972158328802,5.385402608599357,4.2016725369306505
